DurationTime,ZeroCrossRate,StartTime,EndTime,EntropyTime,LocalMaxMean,PeakToPeak,RmsTime,StartToMax,BandWidth,MaxFreq,MinFreq,PeakFreq,PeaksAbove,Category
86,0.004,0.001,0.0,0.004,0,0.12,0.7739,0.11,0.0008,102.53,102.53,0.0,50.78,7,B. nana
87,0.0035,0.0011,0.0,0.0035,0,0.07,0.4268,0.07,0.0007,102.53,102.53,0.0,56.64,3,B. nana
88,0.004,0.001,0.0,0.004,0,0.11,0.7339,0.1,0.0007,101.56,101.56,0.0,55.66,4,B. nana
89,0.004,0.001,0.0,0.004,0,0.07,0.355,0.06,0.0009,101.56,101.56,0.0,50.78,6,B. nana
90,0.0035,0.0011,0.0,0.0035,0,0.18,0.9668000000000002,0.16,0.0009,101.56,101.56,0.0,55.66,5,B. nana
91,0.0035,0.0011,0.0,0.0035,0,0.13,0.6773,0.11,0.0016,58.59,99.6,41.01,55.66,2,B. nana
92,0.0035,0.0011,0.0,0.0035,0,0.18,0.9668000000000002,0.16,0.0011,100.58,100.58,0.0,55.66,4,B. nana
93,0.0035,0.0011,0.0,0.0035,0,0.13,0.6773,0.11,0.0018,58.59,100.58,41.99,56.64,2,B. nana
94,0.0035,0.0011,0.0,0.0035,0,0.09,0.4492,0.08,0.0011,64.45,105.46,41.01,55.66,6,B. nana
95,0.004,0.001,0.0,0.004,0,0.09,0.4639,0.08,0.0011,75.19,102.53,27.34,55.66,3,B. nana
96,0.004,0.001,0.0,0.004,0,0.08,0.4439,0.07,0.001,60.54,100.58,40.03,55.66,6,B. nana
97,0.004,0.001,0.0,0.004,0,0.12,0.7739,0.11,0.0009,101.56,101.56,0.0,54.68,7,B. nana
98,0.0045,0.0009,0.0,0.0045,0,0.03,0.2305,0.03,0.0006,95.7,98.63,2.92,53.71,4,B. nana
99,0.0035,0.0011,0.0,0.0035,0,0.04,0.3789,0.04,0.001,72.26,110.35,38.08,64.45,2,B. nana
100,0.0035,0.0011,0.0,0.0035,0,0.05,0.48,0.05,0.0012,66.4,105.46,39.06,69.33,2,B. nana
101,0.0035,0.0011,0.0,0.0035,0,0.03,0.2998,0.03,0.0012,109.37,111.32,1.95,66.4,5,B. nana
102,0.003,0.0013,0.0,0.003,0,0.04,0.2905,0.04,0.0007,100.58,103.51,2.92,62.5,3,B. nana
103,0.003,0.0013,0.0,0.003,0,0.04,0.3189,0.04,0.0017,115.23,117.18,1.95,67.38,7,B. nana
104,0.003,0.0013,0.0,0.003,0,0.03,0.2837,0.03,0.0018,114.25,114.25,0.0,61.52,4,B. nana
105,0.0025,0.0016,0.0,0.0025,0,0.02,0.2036,0.02,0.0014,115.23,117.18,1.95,61.52,5,B. nana
106,0.0025,0.0016,0.0,0.0025,0,0.03,0.2315,0.03,0.0016,59.57,96.67,37.1,66.4,3,B. nana
107,0.0025,0.0016,0.0,0.0025,0,0.04,0.2588,0.04,0.0014,64.45,99.6,35.15,63.47,3,B. nana
108,0.002,0.002,0.0,0.002,0,0.03,0.1514,0.02,0.0009,117.18,117.18,0.0,62.5,6,B. nana
109,0.0045,0.0009,0.0,0.0045,0,0.05,0.374,0.04,0.0008,100.58,103.51,2.92,52.73,3,B. nana
110,0.002,0.002,0.0,0.002,0,0.03,0.1709,0.02,0.0011,104.49,125.0,20.5,60.54,7,B. nana
111,0.002,0.002,0.0,0.002,0,0.02,0.1231,0.02,0.0007,102.53,104.49,1.95,61.52,11,B. nana
112,0.002,0.002,0.0,0.002,0,0.02,0.1314,0.02,0.0007,113.28,115.23,1.95,64.45,7,B. nana
113,0.0015,0.0027,0.0,0.0015,0,0.02,0.1064,0.02,0.0007,123.04,123.04,0.0,64.45,11,B. nana
114,0.0045,0.0009,0.0,0.0045,0,0.01,0.0786,0.01,0.0035,124.02,125.0,0.97,66.4,16,B. nana
115,0.004,0.001,0.0,0.004,0,0.04,0.4126,0.04,0.0011,72.26,111.32,39.06,66.4,4,B. nana
116,0.0035,0.0011,0.0,0.0035,0,0.03,0.3584,0.03,0.001,77.14,112.3,35.15,63.47,3,B. nana
117,0.0035,0.0011,0.0,0.0035,0,0.05,0.48,0.05,0.0011,67.38,106.44,39.06,67.38,2,B. nana
118,0.0035,0.0011,0.0,0.0035,0,0.03,0.2998,0.03,0.0011,109.37,111.32,1.95,63.47,4,B. nana
119,0.0035,0.0011,0.0,0.0035,0,0.03,0.2905,0.03,0.0011,100.58,103.51,2.92,62.5,2,B. nana
120,0.0045,0.0009,0.0,0.0045,0,0.05,0.4658,0.05,0.0009,61.52,101.56,40.03,52.73,2,B. nana
121,0.003,0.0013,0.0,0.003,0,0.04,0.3189,0.04,0.0016,115.23,117.18,1.95,62.5,7,B. nana
122,0.003,0.0013,0.0,0.003,0,0.03,0.2837,0.03,0.0017,114.25,114.25,0.0,68.35,6,B. nana
123,0.0045,0.0009,0.0,0.0045,0,0.05,0.5352,0.05,0.0007,71.28,111.32,40.03,53.71,3,B. nana
124,0.0045,0.0009,0.0,0.0045,0,0.04,0.4443,0.05,0.0008,114.25,117.18,2.92,66.4,4,B. nana
125,0.004,0.001,0.0,0.004,0,0.04,0.3413,0.03,0.0008,107.42,107.42,0.0,63.47,6,B. nana
126,0.004,0.001,0.0,0.004,0,0.04,0.4126,0.04,0.0011,63.47,102.53,39.06,66.4,3,B. nana
127,0.0035,0.0011,0.0,0.0035,0,0.03,0.3584,0.03,0.001,77.14,112.3,35.15,63.47,5,B. nana
128,0.0035,0.0011,0.0,0.0035,0,0.03,0.311,0.03,0.001,112.3,114.25,1.95,66.4,3,B. nana
129,0.008,0.0005,0.0,0.008,0,0.05,0.3731,0.05,0.0042,45.89,45.89,0.0,14.64,2,E. glaucinus
130,0.0075,0.0005,0.0,0.0075,0,0.06,0.4663,0.07,0.0034,41.01,41.01,0.0,17.57,2,E. glaucinus
131,0.0075,0.0005,0.0,0.0075,0,0.09,0.96,0.12,0.0033,38.08,41.01,2.92,17.57,2,E. glaucinus
132,0.008,0.0005,0.0,0.008,0,0.03,0.3335,0.04,0.0034,36.13,36.13,0.0,13.67,2,E. glaucinus
133,0.0075,0.0005,0.0,0.0075,0,0.04,0.3438,0.05,0.004,41.01,41.01,0.0,13.67,2,E. glaucinus
134,0.006999999999999999,0.0006,0.0,0.006999999999999999,0,0.04,0.3218,0.04,0.0041,40.03,40.03,0.0,14.64,2,E. glaucinus
135,0.0085,0.0005,0.0,0.0085,0,0.03,0.2432,0.03,0.0049,41.01,41.01,0.0,14.64,2,E. glaucinus
136,0.008,0.0005,0.0,0.008,0,0.06,0.4981,0.06,0.0038,43.94,43.94,0.0,26.36,4,E. glaucinus
137,0.0075,0.0005,0.0,0.0075,0,0.06,0.5498,0.08,0.0039,40.03,40.03,0.0,16.6,2,E. glaucinus
138,0.008,0.0005,0.0,0.008,0,0.03,0.2988,0.04,0.0046,41.01,41.01,0.0,17.57,2,E. glaucinus
139,0.0075,0.0005,0.0,0.0075,0,0.1,0.8320999999999998,0.12,0.0037,29.29,40.03,10.74,17.57,1,E. glaucinus
140,0.005,0.0008,0.0,0.005,0,0.0,0.0116,0.0,0.0011,8.78,16.6,7.81,15.62,1,E. glaucinus
141,0.0035,0.0011,0.0,0.0035,0,0.03,0.1146,0.03,0.0015,5.85,18.55,12.69,15.62,1,E. glaucinus
142,0.0045,0.0009,0.0,0.0045,0,0.04,0.131,0.03,0.0011,7.81,19.53,11.71,15.62,1,E. glaucinus
143,0.0035,0.0011,0.0,0.0035,0,0.02,0.0829,0.02,0.0011,6.83,18.55,11.71,14.64,1,E. glaucinus
144,0.0025,0.0016,0.0,0.0025,0,0.02,0.0834,0.02,0.001,5.85,17.57,11.71,14.64,1,E. glaucinus
145,0.003,0.0013,0.0,0.003,0,0.02,0.0717,0.01,0.0012,6.83,17.57,10.74,13.67,1,E. glaucinus
146,0.003,0.0013,0.0,0.003,0,0.02,0.0717,0.01,0.0011,6.83,17.57,10.74,14.64,1,E. glaucinus
147,0.0035,0.0011,0.0,0.0035,0,0.02,0.0969,0.02,0.002,6.83,17.57,10.74,13.67,1,E. glaucinus
148,0.0035,0.0011,0.0,0.0035,0,0.03,0.1074,0.02,0.0021,5.85,16.6,10.74,12.69,1,E. glaucinus
149,0.0035,0.0011,0.0,0.0035,0,0.03,0.0999,0.02,0.0013,5.85,17.57,11.71,14.64,1,E. glaucinus
